Phase #,Phase Name,Timeline,Phase Owner,Gate to Advance,Task,Task Owner,Track
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,Signed agreement + payment confirmed,Both,
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,"Sale logged: summary, commission, offer + sales-call notes handed to fulfillment",Sales,S
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,Client pulled into the onboarding pipeline (triggers welcome),Tech,
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,Welcome email sent + kickoff call scheduled,CSM,
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,Onboarding form sent + completed,Client,
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,Marketing / Onboarding Survey completed → triggers team notification,Client,M
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,"Sales / offer intake completed (current offer, price, sales process, team size)",Client,S
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,Grant Skool access — invite client + their team to the ESA portal/community,CSM,
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,Kickoff call held,Both,
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,"Access collected LIVE: GHL, domain/DNS, Stripe, Meta ad account, calendar",Client,
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,"A2P business details collected (legal entity, EIN, address, sample msgs)",Client,
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,Read access to Stripe / checkout confirmed (for attribution),Client,
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,Slack channel + client ClickUp board set up,CSM,
1,Onboarding & Access,Day 0–2,CSM,Access in hand + scope confirmed out loud,Scope confirmed out loud — what's in / what's NOT,CSM,
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved",Confirm event topic + core messaging,Both,
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved",Confirm event date & time (+ platform/link or venue),Client,
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved",Confirm the offer & pricing presented at the event,Client,
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved",Define target audience / ICP,Both,
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved",Build the Ultimate Target Audience Profile (TAP),Ads,M
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved",Internal review + approve the TAP,Ads,M
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved",Send TAP to client → client approves (GATE before creative),Both,M
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved","Collect brand assets (logo, colors, fonts)",Client,
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved","Collect testimonials, images, media (folder link)",Client,
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved",Collect headshots + speaker photos (for flyers/posters),Client,M
2,"Discovery, Assets & Target Audience",Day 1–3,Both,"Topic, offer, date, assets & TAP approved",Confirm VSL — or schedule scripting,Both,
3,"Tech Setup, A2P & Ad Accounts",Day 2–5,Tech,A2P submitted + GHL & Meta stack connected,Audit existing setup (only if migrating a CRM/GHL),Tech,
3,"Tech Setup, A2P & Ad Accounts",Day 2–5,Tech,A2P submitted + GHL & Meta stack connected,Create GHL sub-account (business details + team),Tech,
3,"Tech Setup, A2P & Ad Accounts",Day 2–5,Tech,A2P submitted + GHL & Meta stack connected,"SUBMIT A2P 10DLC — Day 2, the 72hr+ clock starts now",Tech,
3,"Tech Setup, A2P & Ad Accounts",Day 2–5,Tech,A2P submitted + GHL & Meta stack connected,Purchase phone number,Client,
3,"Tech Setup, A2P & Ad Accounts",Day 2–5,Tech,A2P submitted + GHL & Meta stack connected,"Import + customize snapshot (tags, pipelines, workflows, triggers, fields)",Tech,
3,"Tech Setup, A2P & Ad Accounts",Day 2–5,Tech,A2P submitted + GHL & Meta stack connected,Create pipeline stages + disposition dropdowns,Tech,
3,"Tech Setup, A2P & Ad Accounts",Day 2–5,Tech,A2P submitted + GHL & Meta stack connected,Connect domain (funnel),Client,
3,"Tech Setup, A2P & Ad Accounts",Day 2–5,Tech,A2P submitted + GHL & Meta stack connected,Connect subdomain + SPF/DKIM/DMARC (deliverability),Client,
